"","x"
"TCGA-VQ-AA6J",2.84210526315789
"TCGA-HU-A4H2",3.63157894736842
"TCGA-VQ-A8PS",0.815789473684211
"TCGA-NH-A50U",1.68421052631579
"TCGA-CD-5804",1.5
"TCGA-D5-6534",3.26315789473684
"TCGA-AG-A02G",0.973684210526316
"TCGA-BR-6566",19.4473684210526
"TCGA-G4-6320",23.6842105263158
"TCGA-CD-8536",21.2631578947368
"TCGA-CG-5718",1.63157894736842
"TCGA-BR-8361",36.7894736842105
"TCGA-VQ-A91Y",0.973684210526316
"TCGA-BR-4267",1.89473684210526
"TCGA-5M-AAT6",45.5263157894737
"TCGA-AA-3532",0.473684210526316
"TCGA-CK-6751",3.65789473684211
"TCGA-AA-3684",2.68421052631579
"TCGA-VQ-A8PE",2.5
"TCGA-F5-6864",2.92105263157895
"TCGA-F4-6807",3.44736842105263
"TCGA-AA-3837",2.97368421052632
"TCGA-VQ-A91V",5.05263157894737
"TCGA-D7-A4YX",1.52631578947368
"TCGA-VQ-A8E7",1.86842105263158
"TCGA-DM-A0XF",2.60526315789474
"TCGA-AZ-6606",2.60526315789474
"TCGA-DM-A1HB",26.8684210526316
"TCGA-CD-8529",8.28947368421053
"TCGA-CM-5862",1.60526315789474
"TCGA-A6-A566",3.52631578947368
"TCGA-G4-6310",2.07894736842105
"TCGA-CG-5723",40.7368421052632
"TCGA-A6-5657",2.36842105263158
"TCGA-BR-8676",1.60526315789474
"TCGA-DM-A28G",2.36842105263158
"TCGA-CG-5730",3
"TCGA-VQ-A8PX",13.0263157894737
"TCGA-EI-6917",118.947368421053
"TCGA-D7-8579",2.23684210526316
"TCGA-AG-A02X",2.60526315789474
"TCGA-MX-A663",1.78947368421053
"TCGA-ZQ-A9CR",2.21052631578947
"TCGA-BR-7704",7.5
"TCGA-BR-8373",1.63157894736842
"TCGA-AA-3949",26.7894736842105
"TCGA-AA-3494",1.94736842105263
"TCGA-HU-A4H5",5.94736842105263
"TCGA-AA-A01Z",2.18421052631579
"TCGA-BR-A4PE",4.26315789473684
"TCGA-B7-A5TI",13.8947368421053
"TCGA-CD-5798",1.57894736842105
"TCGA-HU-A4G2",0.921052631578947
"TCGA-AG-A002",271.289473684211
"TCGA-EI-6509",1.23684210526316
"TCGA-AY-6197",25.2368421052632
